dataset,url
ctd,https://delicias.dia.fi.upm.es/nextcloud/index.php/s/4kNeZNE8tcX6FXS/download
genage,https://delicias.dia.fi.upm.es/nextcloud/index.php/s/JkMwfxapBrwp8fy/download
gendr,https://delicias.dia.fi.upm.es/nextcloud/index.php/s/5pdsTSDakDx59Ek/download
hgnc,https://delicias.dia.fi.upm.es/nextcloud/index.php/s/6GdiQCa5j9LK7QN/download
homologene,https://delicias.dia.fi.upm.es/nextcloud/index.php/s/AQ6poa3BknorDo2/download
iproclass,https://delicias.dia.fi.upm.es/nextcloud/index.php/s/372MYEdEHm6kqM4/download
irefindex,https://delicias.dia.fi.upm.es/nextcloud/index.php/s/zRXejkZxqdLrz96/download
lsr,https://delicias.dia.fi.upm.es/nextcloud/index.php/s/tMaxtWBY3N5FLyc/download
ncbigene,https://delicias.dia.fi.upm.es/nextcloud/index.php/s/fJ6t5a6cTDESmKn/download
ndc,https://delicias.dia.fi.upm.es/nextcloud/index.php/s/H4F96TE4Q6BEGXX/download
sider,https://delicias.dia.fi.upm.es/nextcloud/index.php/s/aET4ApL4foaZbSY/download
taxonomy,https://delicias.dia.fi.upm.es/nextcloud/index.php/s/wWJSX6PCfNxK463/download
wormbase,https://delicias.dia.fi.upm.es/nextcloud/index.php/s/dabEFWP6MqgWdsy/download
