mapping,engine,run,elapsed_time,kernel_mode,user_mode,memory_max,memory_average,number_results
gtfs-rdb,Ontop,0,1300.06,36.45,1295.56,26200660,0,39595300
gtfs-rdb,Ontop,1,1272.46,38.22,1115.07,25698788,0,39595300
gtfs-rdb,Ontop,2,1288.01,38.32,1125.72,25046996,0,39595300
,,,,,,,,
gtfs-rdb,Morph-rdb,0,12158.92,113.25,1113.22,1466704,0,45466100
gtfs-rdb,Morph-rdb,1,12171.34,97.41,1084.41,1494076,0,45466100
gtfs-rdb,Morph-rdb,2,12104.29,89.62,1023.64,1473956,0,45466100
,,,,,,,,
gtfs-rdb,DB2Triples,0,1848.67,226.68,5357.9,68179600,0,39595300
gtfs-rdb,DB2Triples,1,1836.54,104.29,5547.74,68309916,0,39595300
gtfs-rdb,DB2Triples,2,1812.36,100.49,5436.11,68276980,0,39595300
,,,,,,,,
gtfs-rdb,RMLMapper,,TimeOut,,,,,
gtfs-rdb,RMLMapper,,TimeOut,,,,,
gtfs-rdb,RMLMapper,,TimeOut,,,,,
,,,,,,,,
gtfs-rdb,SDM-RDFizer,0,2900.51,334.29,2681.81,21875436,0,39595300
gtfs-rdb,SDM-RDFizer,1,2666.83,262.83,2499.1,22706536,0,39595300
gtfs-rdb,SDM-RDFizer,2,2738.75,329.65,2536.54,21915908,0,39595300
,,,,,,,,
gtfs-csv,RMLMapper,0,TimeOut,,,,,
gtfs-csv,RMLMapper,1,TimeOut,,,,,
gtfs-csv,RMLMapper,2,TimeOut,,,,,
,,,,,,,,
gtfs-json,RMLMapper,0,TimeOut,,,,,
gtfs-json,RMLMapper,1,TimeOut,,,,,
gtfs-json,RMLMapper,2,TimeOut,,,,,
,,,,,,,,
gtfs-custom,RMLMapper,0,TimeOut,,,,,
gtfs-custom,RMLMapper,1,TimeOut,,,,,
gtfs-custom,RMLMapper,2,TimeOut,,,,,
,,,,,,,,
gtfs-rdb,R2RML-F,0,1458.74,171.01,2094.89,65151948,0,39595300
gtfs-rdb,R2RML-F,1,1432.29,66.31,2102.56,65229392,0,39595300
gtfs-rdb,R2RML-F,2,1484.49,80.36,2085.3,64100168,0,39595300
,,,,,,,,
gtfs-xml,RMLMapper,0,TimeOut,,,,,
gtfs-xml,RMLMapper,1,TimeOut,,,,,
gtfs-xml,RMLMapper,2,TimeOut,,,,,
,,,,,,,,
gtfs-csv,RocketRML,0,,,,OutOfMemory,,
gtfs-csv,RocketRML,1,,,,OutOfMemory,,
gtfs-csv,RocketRML,2,,,,OutOfMemory,,
,,,,,,,,
gtfs-json,RocketRML,0,,,,OutOfMemory,,
gtfs-json,RocketRML,1,,,,OutOfMemory,,
gtfs-json,RocketRML,2,,,,OutOfMemory,,
,,,,,,,,
gtfs-xml,RocketRML,0,,,,OutOfMemory,,
gtfs-xml,RocketRML,1,,,,OutOfMemory,,
gtfs-xml,RocketRML,2,,,,OutOfMemory,,
,,,,,,,,
gtfs-custom,RocketRML,0,,,,OutOfMemory,,
gtfs-custom,RocketRML,1,,,,OutOfMemory,,
gtfs-custom,RocketRML,2,,,,OutOfMemory,,
,,,,,,,,
gtfs-csv,R2RML-F,0,31439.84,126.29,33661.05,50642660,0,39595300
gtfs-csv,R2RML-F,1,34723.11,91.57,36978.19,50608440,0,39595300
gtfs-csv,R2RML-F,2,33385.01,84.7,35907.43,47073948,0,39595300
,,,,,,,,
gtfs-csv,SDM-RDFizer,0,4119.62,37.68,4081.73,23461360,0,39595300
gtfs-csv,SDM-RDFizer,1,4059.35,28.82,4030.3,23522420,0,39595300
gtfs-csv,SDM-RDFizer,2,3749.25,31.24,3717.41,25305368,0,39595300
,,,,,,,,
gtfs-xml,SDM-RDFizer,0,3549.21,74.73,3473.96,34651120,0,39595300
gtfs-xml,SDM-RDFizer,1,3491.95,43.11,3448.3,34010108,0,39595300
gtfs-xml,SDM-RDFizer,2,3862.59,44.32,3817.6,33124408,0,39595300
,,,,,,,,
gtfs-json,SDM-RDFizer,0,4186.4,46.89,4138.91,24336644,0,39595300
gtfs-json,SDM-RDFizer,1,4022.42,36.59,3985.25,24918160,0,39595300
gtfs-json,SDM-RDFizer,2,4155.22,36.11,4118.03,22968544,0,39595300
,,,,,,,,
gtfs-custom,SDM-RDFizer,0,3949.69,62.5,3886.01,26799916,0,39595300
gtfs-custom,SDM-RDFizer,1,3895.12,34.74,3859.85,25419488,0,39595300
gtfs-custom,SDM-RDFizer,2,3974.26,35.21,3938.16,24667768,0,39595300
,,,,,,,,
gtfs-json,Chimera,0,TimeOut,,,,,
gtfs-json,Chimera,1,TimeOut,,,,,
gtfs-json,Chimera,2,TimeOut,,,,,
,,,,,,,,
gtfs-xml,Chimera,0,TimeOut,,,,,
gtfs-xml,Chimera,1,TimeOut,,,,,
gtfs-xml,Chimera,2,TimeOut,,,,,
,,,,,,,,
gtfs-csv,Chimera,0,,,,OutOfMemory,,
gtfs-csv,Chimera,1,,,,OutOfMemory,,
gtfs-csv,Chimera,2,,,,OutOfMemory,,
,,,,,,,,
gtfs-custom,Chimera,0,,,,,,
gtfs-custom,Chimera,1,,,,,,
gtfs-custom,Chimera,2,,,,,,
,,,,,,,,
gtfs-csv,carml,0,TimeOut,,,,,
gtfs-csv,carml,1,TimeOut,,,,,
gtfs-csv,carml,2,TimeOut,,,,,
,,,,,,,,
gtfs-json,carml,0,TimeOut,,,,,
gtfs-json,carml,1,TimeOut,,,,,
gtfs-json,carml,2,TimeOut,,,,,
,,,,,,,,
gtfs-xml,carml,0,TimeOut,,,,,
gtfs-xml,carml,1,TimeOut,,,,,
gtfs-xml,carml,2,TimeOut,,,,,
,,,,,,,,
gtfs-custom,carml,0,TimeOut,,,,,
gtfs-custom,carml,1,TimeOut,,,,,
gtfs-custom,carml,2,TimeOut,,,,,
