mapping,engine,run,elapsed_time,kernel_mode,user_mode,memory_max,memory_average,number_results
gtfs-rdb,Ontop,0,19.95,3.35,31.97,1972980,0,395953
gtfs-rdb,Ontop,1,19.34,2.52,31.57,1986996,0,395953
gtfs-rdb,Ontop,2,19.31,2.45,31.34,1993232,0,395953
,,,,,,,,
gtfs-rdb,Morph-rdb,0,118.76,3.22,23.04,1473508,0,454661
gtfs-rdb,Morph-rdb,1,117.57,2.32,24.09,1457740,0,454661
gtfs-rdb,Morph-rdb,2,117.17,2.37,23.83,1456448,0,454661
,,,,,,,,
gtfs-rdb,DB2Triples,0,22.37,6.29,37.98,5567516,0,395953
gtfs-rdb,DB2Triples,1,19.06,3.64,37.16,5527968,0,395953
gtfs-rdb,DB2Triples,2,20.32,4.2,38.21,5562400,0,395953
,,,,,,,,
gtfs-rdb,RMLMapper,0,6968.98,34.05,7235.31,10521456,0,
gtfs-rdb,RMLMapper,1,7156.33,38.95,7433.89,10520680,0,
gtfs-rdb,RMLMapper,2,7152.84,40.54,7421.65,10528260,0,
,,,,,,,,
gtfs-rdb,SDM-RDFizer,0,31.74,2.79,29.79,266344,0,395953
gtfs-rdb,SDM-RDFizer,1,31.72,2.83,29.73,265204,0,395953
gtfs-rdb,SDM-RDFizer,2,30.95,2.51,29.17,259148,0,395953
,,,,,,,,
gtfs-csv,RMLMapper,0,7107.62,38.61,7397.66,10553212,0,397622
gtfs-csv,RMLMapper,1,6903.16,41.41,7207.4,10520964,0,397622
gtfs-csv,RMLMapper,2,6900.72,38.15,7204.16,10533028,0,397622
,,,,,,,,
gtfs-json,RMLMapper,0,8863.68,44.83,9306.15,9272852,0,397622
gtfs-json,RMLMapper,1,8773.19,40.87,9174.06,6882944,0,397622
gtfs-json,RMLMapper,2,9116.04,42.13,9606.05,8404580,0,397622
,,,,,,,,
gtfs-xml,RMLMapper,0,TimeOut,,,,,
gtfs-xml,RMLMapper,1,TimeOut,,,,,
gtfs-xml,RMLMapper,2,TimeOut,,,,,
,,,,,,,,
gtfs-rdb,R2RML-F,0,25.8,11.04,33.38,9090672,0,395953
gtfs-rdb,R2RML-F,1,23.61,9.01,35.67,9074776,0,395953
gtfs-rdb,R2RML-F,2,21.56,6.07,34.91,9075560,0,395953
,,,,,,,,
gtfs-csv,RocketRML,0,8.4,0.93,11.49,753868,0,395953
gtfs-csv,RocketRML,1,8.43,0.97,11.4,752656,0,395953
gtfs-csv,RocketRML,2,8.4,0.83,11.36,750600,0,395953
,,,,,,,,
gtfs-json,RocketRML,0,33.35,2.4,41.29,988744,0,397622
gtfs-json,RocketRML,1,32.59,1.96,40.11,988004,0,397622
gtfs-json,RocketRML,2,33.54,2.02,41.16,987416,0,397622
,,,,,,,,
gtfs-xml,RocketRML,0,20.33,1.28,22.89,767420,0,395953
gtfs-xml,RocketRML,1,20.21,0.99,22.91,768836,0,395953
gtfs-xml,RocketRML,2,19.99,0.92,22.82,766848,0,395953
,,,,,,,,
gtfs-custom,RMLMapper,0,8672.11,47.53,9015.07,10653344,0,397622
gtfs-custom,RMLMapper,1,9357.99,51.6,9725.08,10482444,0,397622
gtfs-custom,RMLMapper,2,9356.22,49.23,9765.85,10520656,0,397622
,,,,,,,,
gtfs-custom,RocketRML,0,36.54,4.15,43.22,1236608,0,395953
gtfs-custom,RocketRML,1,34.9,3.32,41.71,1236416,0,395953
gtfs-custom,RocketRML,2,36.83,2.16,44.44,1234728,0,395953
,,,,,,,,
gtfs-csv,R2RML-F,0,25.03,8.31,40.65,16554396,0,395953
gtfs-csv,R2RML-F,1,24.25,8,37.92,16522352,0,395953
gtfs-csv,R2RML-F,2,24.21,7.23,40.05,16358384,0,395953
